Kanda,Varga,Sentence,Sentence Start,Sentence End
1,1,नामलिङ्गानुशासनंनामअमरकोषः।,0.000,5.400
1,1,प्रथमकाण्डम्।,5.400,8.440
1,1,यस्यज्ञानदयासिन्धोरगाधस्यानघागुणाः।,8.440,15.860
1,1,सेव्यतामक्षयोधीराःसश्रियेचामृतायच॥१.१.१॥,15.860,22.640
1,1,समाहृत्यान्यतन्त्राणिसंक्षिप्तैःप्रतिसंस्कृतैः।,22.640,29.800
1,1,सम्पूर्णमुच्यतेवर्गैर्नामलिङ्गानुशासनम्॥१.१.२॥,29.800,36.760
1,1,प्रायशोरूपभेदेनसाहचर्याच्चकुत्रचित्।,36.760,43.440
1,1,स्त्रीपुंनपुंसकंज्ञेयंतद्विशेषविधेःक्वचित्॥१.१.३॥,43.440,50.120
1,1,भेदाख्यानायनद्वन्द्वोनैकशेषोनसंकरः।,50.120,58.200
1,1,कृतोऽत्रभिन्नलिङ्गानामनुक्तानांक्रमादृतेः॥१.१.४॥,58.200,65.000
1,1,त्रिलिङ्ग्यांत्रिष्वितिपदंमिथुनेतुद्वयोरिति।,65.000,71.260
1,1,निषिद्धलिङ्गंशेषार्थंत्वन्ताथादिनपूर्वभाक्॥१.१.५॥,71.260,78.600
1,1,अथस्वर्गवर्गः।,78.600,82.440
1,1,स्वरव्ययंस्वर्गनाकत्रिदिवत्रिदशालयाः।,82.440,88.180
1,1,सुरलोकोद्योदिवौद्वेस्त्रियांक्लीबेत्रिविष्टपम्॥१.१.६॥,88.180,95.240
1,1,अमरानिर्जरादेवास्त्रिदशाविबुधाःसुराः।,95.240,102.820
1,1,सुपर्वाणःसुमनसस्त्रिदिवेशादिवौकसः॥१.१.७॥,102.820,108.320
1,1,आदितेयादिविषदोलेखाअदितिनन्दनाः।,108.320,115.860
1,1,आदित्याऋभवोऽस्वप्नाअमर्त्याअमृतान्धसः॥१.१.८॥,115.860,122.200
1,1,बर्हिर्मुखाःक्रतुभुजोगीर्वाणादानवारयः।,122.200,129.820
1,1,वृन्दारकादैवतानिपुंसिवादेवताःस्त्रियाम्॥१.१.९॥,129.820,136.320
1,1,आदित्यविश्ववसवस्तुषिताभास्वरानिलाः।,136.320,144.540
1,1,महाराजिकसाध्याश्चरुद्राश्चगणदेवताः॥१.१.१०॥,144.540,150.960
1,1,विद्याधराप्सरोयक्षरक्षोगन्धर्वकिन्नराः।,150.960,157.020
1,1,पिशाचोगुह्यकःसिद्धोभूतोऽमीदेवयोनयः॥१.१.११॥,157.020,162.680
1,1,असुरादैत्यदैतेयदनुजेन्द्रारिदानवाः।,162.680,170.840
1,1,शुक्रशिष्यादितिसुताःपूर्वदेवाःसुरद्विषः॥१.१.१२॥,170.840,176.400
1,1,सर्वज्ञःसुगतोबुद्धोधर्मराजस्तथागतः।,176.400,184.260
1,1,समन्तभद्रोभगवान्मारजिल्लोकजिज्जिनः॥१.१.१३॥,184.260,191.000
1,1,षडभिज्ञोदशबलोऽद्वयवादीविनायकः।,191.000,197.100
1,1,मुनीन्द्रःश्रीघनःशास्तामुनिःशाक्यमुनिस्तुयः॥१.१.१४॥,197.100,204.160
1,1,सशाक्यसिंहःसर्वार्थसिद्धःशौद्धोदनिश्चसः।,204.160,211.380
1,1,गौतमश्चार्कबन्धुश्चमायादेवीसुतश्चसः॥१.१.१५॥,211.380,218.360
1,1,ब्रह्मात्मभूःसुरज्येष्ठःपरमेष्ठीपितामहः।,218.360,226.300
1,1,हिरण्यगर्भोलोकेशःस्वयम्भूश्चतुराननः॥१.१.१६॥,226.300,232.520
1,1,धाताब्जयोनिर्द्रुहिणोविरिञ्चिःकमलासनः।,232.520,239.040
1,1,स्रष्टाप्रजापतिर्वेधाविधाताविश्वसृड्विधिः॥१.१.१७॥,239.040,245.840
1,1,नाभिजन्माण्डजःपूर्वोनिधनःकमलोद्भवः।,245.840,249.940
1,1,सदानन्दोरजोमूर्तिःसत्यकोहंसवाहनः॥१.१.१८॥,249.940,259.600
1,1,विष्णुर्नारायणःकृष्णोवैकुण्ठोविष्टरश्रवाः।,259.600,265.880
1,1,दामोदरोहृषीकेशःकेशवोमाधवःस्वभूः॥१.१.१९॥,265.880,273.960
1,1,दैत्यारिःपुण्डरीकाक्षोगोविन्दोगरुडध्वजः।,273.960,280.820
1,1,पीताम्बरोऽच्युतःशार्ङ्गीविष्वक्सेनोजनार्दनः॥१.१.२०॥,280.820,288.400
1,1,उपेन्द्रइन्द्रावरजश्चक्रपाणिश्चतुर्भुजः।,288.400,294.940
1,1,पद्मनाभोमधुरिपुर्वासुदेवस्त्रिविक्रमः॥१.१.२१॥,294.940,301.120
1,1,देवकीनन्दनःशौरिःश्रीपतिःपुरुषोत्तमः।,301.120,307.020
1,1,वनमालीबलिध्वंसीकंसारातिरधोक्षजः॥१.१.२२॥,307.020,313.920
1,1,विश्वम्भरःकैटभजिद्विधुःश्रीवत्सलाञ्छनः।,313.920,321.080
1,1,पुराणपुरुषोयज्ञपुरुषोनरकान्तकः॥१.१.२३॥,321.080,326.200
1,1,जलशायीविश्वरूपोमुकुन्दोमुरमर्दनः।,326.200,332.220
1,1,वसुदेवोऽस्यजनकःसएवानकदुन्दुभिः॥१.१.२४॥,332.220,338.320
1,1,बलभद्रःप्रलम्बघ्नोबलदेवोऽच्युताग्रजः।,338.320,344.920
1,1,रेवतीरमणोरामःकामपालोहलायुधः॥१.१.२५॥,344.920,351.240
1,1,नीलाम्बरोरौहिणेयस्तालाङ्कोमुसलीहली।,351.240,358.060
1,1,सङ्कर्षणःसीरपाणिःकालिन्दीभेदनोबलः॥१.१.२६॥,358.060,363.520
1,1,मदनोमन्मथोमारःप्रद्युम्नोमीनकेतनः।,363.520,370.000
1,1,कन्दर्पोदर्पकोऽनङ्गःकामःपञ्चशरःस्मरः॥१.१.२७॥,370.000,377.600
1,1,शम्बरारिर्मनसिजःकुसुमेषुरनन्यजः।,377.600,383.760
1,1,पुष्पधन्वारतिपतिर्मकरध्वजआत्मभूः॥१.१.२८॥,383.760,389.040
1,1,अरविन्दमशोकंचचूतंचनवमल्लिका।,389.040,395.560
1,1,नीलोत्पलंचपञ्चैतेपञ्चबाणस्यसायकाः॥१.१.२९॥,395.560,403.360
1,1,उन्मादनस्तापनश्चशोषणःस्तम्भनस्तथा।,403.360,408.600
1,1,संमोहनश्चकामस्यपञ्चबाणाःप्रकीर्तिताः॥१.१.३०॥,408.600,415.800
1,1,ब्रह्मसूर्विश्वकेतुःस्यादनिरुद्धउषापतिः।,415.800,421.940
1,1,लक्ष्मीःपद्मालयापद्माकमलाश्रीर्हरिप्रिया॥१.१.३१॥,421.940,429.280
1,1,इन्दिरालोकमातामाक्षीरोदतनयारमा।,429.280,435.080
1,1,भार्गवीलोकजननीक्षीरसागरकन्यका॥१.१.३२॥,435.080,441.000
1,1,शङ्खोलक्ष्मीपतेःपाञ्चजन्यश्चक्रंसुदर्शनम्।,441.000,446.720
1,1,कौमोदकीगदाखड्गोनन्दकःकौस्तुभोमणिः॥१.१.३३॥,446.720,454.160
1,1,चापःशार्ङ्गंमुरारेस्तुश्रीवत्सोलाञ्छनंस्मृतम्।,454.160,461.420
1,1,अश्वाश्चशैव्यसुग्रीवमेघपुष्पबलाहकाः॥१.१.३४॥,461.420,469.200
1,1,सारथिर्दारुकोमन्त्रीह्युद्धवश्चानुजोगदः।,469.200,476.200
1,1,गरुत्मान्गरुडस्तार्क्ष्योवैनतेयःखगेश्वरः॥१.१.३५॥,476.200,483.280
1,1,नागान्तकोविष्णुरथःसुपर्णःपन्नगाशनः।,483.280,489.380
1,1,शम्भूरीशःपशुपतिःशिवःशूलीमहेश्वरः॥१.१.३६॥,489.380,495.920
1,1,ईश्वरःशर्वईशानःशङ्करश्चन्द्रशेखरः।,495.920,502.740
