Kanda,Varga,Word,Word Start,Word End
1,1,नामलिङ्गानुशासनं,0.000,3.880
1,1,नाम,3.880,4.450
1,1,अमरकोषः,4.450,5.400
1,1,प्रथमकाण्डम्,5.400,8.440
1,1,यस्य,8.440,10.310
1,1,ज्ञानदयासिन्धोरगाधस्यानघा,10.310,13.815
1,1,गुणाः,13.815,15.860
1,1,सेव्यतामक्षयो,15.860,17.740
1,1,धीराः,17.740,19.390
1,1,स,19.390,19.555
1,1,श्रिये,19.555,20.275
1,1,चामृताय,20.275,21.325
1,1,च,21.325,22.640
1,1,समाहृत्यान्यतन्त्राणि,22.640,26.730
1,1,संक्षिप्तैः,26.730,27.700
1,1,प्रतिसंस्कृतैः,27.700,29.800
1,1,सम्पूर्णमुच्यते,29.800,31.755
1,1,वर्गैर्नामलिङ्गानुशासनम्,31.755,36.760
1,1,प्रायशो,36.760,37.680
1,1,रूपभेदेन,37.680,38.860
1,1,साहचर्याच्च,38.860,41.520
1,1,कुत्रचित्,41.520,43.440
1,1,स्त्रीपुंनपुंसकं,43.440,45.750
1,1,ज्ञेयं,45.750,46.720
1,1,तद्विशेषविधेः,46.720,48.980
1,1,क्वचित्,48.980,50.120
1,1,भेदाख्यानाय,50.120,53.040
1,1,न,53.040,53.380
1,1,द्वन्द्वो,53.380,54.985
1,1,नैकशेषो,54.985,55.770
1,1,न,55.770,55.985
1,1,संकरः,55.985,58.200
1,1,कृतोऽत्र,58.200,58.955
1,1,भिन्नलिङ्गानामनुक्तानां,58.955,62.985
1,1,क्रमादृतेः,62.985,65.000
1,1,त्रिलिङ्ग्यां,65.000,66.230
1,1,त्रिष्विति,66.230,66.930
1,1,पदं,66.930,68.330
1,1,मिथुने,68.330,69.040
1,1,तु,69.040,69.210
1,1,द्वयोरिति,69.210,71.260
1,1,निषिद्धलिङ्गं,71.260,72.585
1,1,शेषार्थं,72.585,74.220
1,1,त्वन्ताथादि,74.220,76.175
1,1,न,76.175,76.390
1,1,पूर्वभाक्,76.390,78.600
1,1,अथ,78.600,79.540
1,1,स्वर्गवर्गः,79.540,82.440
1,1,स्वरव्ययं,82.440,83.600
1,1,स्वर्गनाकत्रिदिवत्रिदशालयाः,83.600,88.180
1,1,सुरलोको,88.180,89.665
1,1,द्योदिवौ,89.665,90.600
1,1,द्वे,90.600,91.940
1,1,स्त्रियां,91.940,92.780
1,1,क्लीबे,92.780,93.850
1,1,त्रिविष्टपम्,93.850,95.240
1,1,अमरा,95.240,96.485
1,1,निर्जरा,96.485,97.400
1,1,देवास्त्रिदशा,97.400,99.905
1,1,विबुधाः,99.905,100.755
1,1,सुराः,100.755,102.820
1,1,सुपर्वाणः,102.820,103.750
1,1,सुमनसस्त्रिदिवेशा,103.750,106.825
1,1,दिवौकसः,106.825,108.320
1,1,आदितेया,108.320,110.170
1,1,दिविषदो,110.170,110.655
