Adhyaya,Pada,Sentence,Sentence Start,Sentence End
1,1,अथअष्टाध्यायीसूत्रपाठः।,0.000,1.140
1,1,अथप्रथमोध्यायः।,1.140,3.580
1,1,अथप्रथमःपादः।,3.580,5.720
1,1,वृद्धिरादैच्॥१.१.१॥,5.720,8.140
1,1,अदेङ्गुणः॥१.१.२॥,8.140,10.200
1,1,इकोगुणवृद्धी॥१.१.३॥,10.200,12.580
1,1,नधातुलोपआर्धधातुके॥१.१.४॥,12.580,15.580
1,1,क्ङितिच॥१.१.५॥,15.580,17.280
1,1,दीधीवेवीटाम्॥१.१.६॥,17.280,19.840
1,1,हलोऽनन्तराःसंयोगः॥१.१.७॥,19.840,22.800
1,1,मुखनासिकावचनोऽनुनासिकः॥१.१.८॥,22.800,25.780
1,1,तुल्यास्यप्रयत्नंसवर्णम्॥१.१.९॥,25.780,29.520
1,1,नाज्झलौ॥१.१.१०॥,29.520,31.520
1,1,ईदूदेद्द्विवचनंप्रगृह्यम्॥१.१.११॥,31.520,34.980
1,1,अदसोमात्॥१.१.१२॥,34.980,36.640
1,1,शे॥१.१.१३॥,36.640,37.920
1,1,निपातएकाजनाङ्॥१.१.१४॥,37.920,40.720
1,1,ओत्॥१.१.१५॥,40.720,42.040
1,1,सम्बुद्धौशाकल्यस्येतावनार्षे॥१.१.१६॥,42.040,46.420
1,1,उञः॥१.१.१७॥,46.420,48.200
1,1,ऊँ॥१.१.१८॥,48.200,49.280
1,1,ईदूतौचसप्तम्यर्थे॥१.१.१९॥,49.280,52.440
1,1,दाधाघ्वदाप्॥१.१.२०॥,52.440,54.920
1,1,आद्यन्तवदेकस्मिन्॥१.१.२१॥,54.920,57.560
1,1,तरप्तमपौघः॥१.१.२२॥,57.560,60.220
1,1,बहुगणवतुडतिसंख्या॥१.१.२३॥,60.220,63.300
1,1,ष्णान्ताषट्॥१.१.२४॥,63.300,65.460
1,1,डतिच॥१.१.२५॥,65.460,66.560
1,1,क्तक्तवतूनिष्ठा॥१.१.२६॥,66.560,69.240
1,1,सर्वादीनिसर्वनामानि॥१.१.२७॥,69.240,72.120
1,1,विभाषादिक्समासेबहुव्रीहौ॥१.१.२८॥,72.120,75.580
1,1,नबहुव्रीहौ॥१.१.२९॥,75.580,77.420
1,1,तृतीयासमासे॥१.१.३०॥,77.420,79.940
1,1,द्वन्द्वेच॥१.१.३१॥,79.940,81.660
1,1,विभाषाजसि॥१.१.३२॥,81.660,83.320
1,1,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च॥१.१.३३॥,83.320,87.480
1,1,पूर्वपरावरदक्षिणोत्तरापराधराणिव्यवस्थायामसंज्ञायाम्॥१.१.३४॥,87.480,95.560
1,1,स्वमज्ञातिधनाख्यायाम्॥१.१.३५॥,95.560,98.700
1,1,अन्तरंबहिर्योगोपसंव्यानयोः॥१.१.३६॥,98.700,102.700
1,1,स्वरादिनिपातमव्ययम्॥१.१.३७॥,102.700,105.120
1,1,तद्धितश्चासर्वविभक्तिः॥१.१.३८॥,105.120,108.180
1,1,कृन्मेजन्तः॥१.१.३९॥,108.180,110.180
1,1,क्त्वातोसुन्कसुनः॥१.१.४०॥,110.180,113.100
1,1,अव्ययीभावश्च॥१.१.४१॥,113.100,115.460
1,1,शिसर्वनामस्थानम्॥१.१.४२॥,115.460,118.020
1,1,सुडनपुंसकस्य॥१.१.४३॥,118.020,120.320
1,1,नवेतिविभाषा॥१.१.४४॥,120.320,122.700
1,1,इग्यणःसम्प्रसारणम्॥१.१.४५॥,122.700,125.220
1,1,आद्यन्तौटकितौ॥१.१.४६॥,125.220,127.680
1,1,मिदचोऽन्त्यात्परः॥१.१.४७॥,127.680,130.340
1,1,एचइग्घ्रस्वादेशे॥१.१.४८॥,130.340,132.940
1,1,षष्ठीस्थानेयोगा॥१.१.४९॥,132.940,136.160
1,1,स्थानेऽन्तरतमः॥१.१.५०॥,136.160,138.600
1,1,उरण्रपरः॥१.१.५१॥,138.600,140.560
1,1,अलोऽन्त्यस्य॥१.१.५२॥,140.560,142.720
1,1,ङिच्च॥१.१.५३॥,142.720,144.260
1,1,आदेःपरस्य॥१.१.५४॥,144.260,146.940
1,1,अनेकाल्शित्सर्वस्य॥१.१.५५॥,146.940,149.620
1,1,स्थानिवदादेशोऽनल्विधौ॥१.१.५६॥,149.620,153.540
1,1,अचःपरस्मिन्पूर्वविधौ॥१.१.५७॥,153.540,156.560
1,1,नपदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु॥१.१.५८॥,156.560,164.360
1,1,द्विर्वचनेऽचि॥१.१.५९॥,164.360,166.640
1,1,अदर्शनंलोपः॥१.१.६०॥,166.640,168.600
1,1,प्रत्ययस्यलुक्श्लुलुपः॥१.१.६१॥,168.600,171.500
1,1,प्रत्ययलोपेप्रत्ययलक्षणम्॥१.१.६२॥,171.500,175.360
1,1,नलुमताङ्गस्य॥१.१.६३॥,175.360,178.000
1,1,अचोऽन्त्यादिटि॥१.१.६४॥,178.000,180.300
1,1,अलोऽन्त्यात्पूर्वउपधा॥१.१.६५॥,180.300,183.400
1,1,तस्मिन्नितिनिर्दिष्टेपूर्वस्य॥१.१.६६॥,183.400,187.020
1,1,तस्मादित्युत्तरस्य॥१.१.६७॥,187.020,189.760
1,1,स्वंरूपंशब्दस्याशब्दसंज्ञा॥१.१.६८॥,189.760,194.320
1,1,अणुदित्सवर्णस्यचाप्रत्ययः॥१.१.६९॥,194.320,197.760
1,1,तपरस्तत्कालस्य॥१.१.७०॥,197.760,200.420
1,1,आदिरन्त्येनसहेता॥१.१.७१॥,200.420,202.920
1,1,येनविधिस्तदन्तस्य॥१.१.७२॥,202.920,205.560
1,1,वृद्धिर्यस्याचामादिस्तद्वृद्धम्॥१.१.७३॥,205.560,209.840
1,1,त्यदादीनिच॥१.१.७४॥,209.840,211.700
1,1,एङ्प्राचांदेशे॥१.१.७५॥,211.700,215.720
