Adhyaya,Pada,Word,Word Start,Word End
1,1,अथ,0.000,0.085
1,1,अष्टाध्यायीसूत्रपाठः,0.085,1.140
1,1,अथ,1.140,1.280
1,1,प्रथमोध्यायः,1.280,3.580
1,1,अथ,3.580,3.715
1,1,प्रथमः,3.715,4.475
1,1,पादः,4.475,5.720
1,1,वृद्धिरादैच्,5.720,8.140
1,1,अदेङ्,8.140,8.820
1,1,गुणः,8.820,10.200
1,1,इको,10.200,10.590
1,1,गुणवृद्धी,10.590,12.580
1,1,न,12.580,12.740
1,1,धातुलोप,12.740,13.710
1,1,आर्धधातुके,13.710,15.580
1,1,क्ङिति,15.580,16.265
1,1,च,16.265,17.280
1,1,दीधीवेवीटाम्,17.280,19.840
1,1,हलोऽनन्तराः,19.840,21.205
1,1,संयोगः,21.205,22.800
1,1,मुखनासिकावचनोऽनुनासिकः,22.800,25.780
1,1,तुल्यास्यप्रयत्नं,25.780,28.005
1,1,सवर्णम्,28.005,29.520
1,1,नाज्झलौ,29.520,31.520
1,1,ईदूदेद्द्विवचनं,31.520,33.250
1,1,प्रगृह्यम्,33.250,34.980
1,1,अदसो,34.980,35.485
1,1,मात्,35.485,36.640
1,1,शे,36.640,37.920
1,1,निपात,37.920,38.610
1,1,एकाजनाङ्,38.610,40.720
1,1,ओत्,40.720,42.040
1,1,सम्बुद्धौ,42.040,42.935
1,1,शाकल्यस्येतावनार्षे,42.935,46.420
1,1,उञः,46.420,48.200
1,1,ऊँ,48.200,49.280
1,1,ईदूतौ,49.280,50.050
1,1,च,50.050,50.175
1,1,सप्तम्यर्थे,50.175,52.440
1,1,दाधा,52.440,53.240
1,1,घ्वदाप्,53.240,54.920
1,1,आद्यन्तवदेकस्मिन्,54.920,57.560
1,1,तरप्तमपौ,57.560,59.250
1,1,घः,59.250,60.220
1,1,बहुगणवतुडति,60.220,61.760
1,1,संख्या,61.760,63.300
1,1,ष्णान्ता,63.300,64.270
1,1,षट्,64.270,65.460
1,1,डति,65.460,65.790
1,1,च,65.790,66.560
1,1,क्तक्तवतू,66.560,67.805
1,1,निष्ठा,67.805,69.240
1,1,सर्वादीनि,69.240,70.330
1,1,सर्वनामानि,70.330,72.120
1,1,विभाषा,72.120,72.975
1,1,दिक्समासे,72.975,73.790
1,1,बहुव्रीहौ,73.790,75.580
1,1,न,75.580,75.755
1,1,बहुव्रीहौ,75.755,77.420
1,1,तृतीयासमासे,77.420,79.940
1,1,द्वन्द्वे,79.940,80.690
1,1,च,80.690,81.660
1,1,विभाषा,81.660,82.530
1,1,जसि,82.530,83.320
1,1,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,83.320,87.480
1,1,पूर्वपरावरदक्षिणोत्तरापराधराणि,87.480,92.210
1,1,व्यवस्थायामसंज्ञायाम्,92.210,95.560
1,1,स्वमज्ञातिधनाख्यायाम्,95.560,98.700
1,1,अन्तरं,98.700,99.410
1,1,बहिर्योगोपसंव्यानयोः,99.410,102.700
1,1,स्वरादिनिपातमव्ययम्,102.700,105.120
1,1,तद्धितश्चासर्वविभक्तिः,105.120,108.180
1,1,कृन्मेजन्तः,108.180,110.180
1,1,क्त्वातोसुन्कसुनः,110.180,113.100
1,1,अव्ययीभावश्च,113.100,115.460
1,1,शि,115.460,115.660
1,1,सर्वनामस्थानम्,115.660,118.020
1,1,सुडनपुंसकस्य,118.020,120.320
1,1,न,120.320,120.510
1,1,वेति,120.510,120.915
1,1,विभाषा,120.915,122.700
1,1,इग्यणः,122.700,123.355
1,1,सम्प्रसारणम्,123.355,125.220
1,1,आद्यन्तौ,125.220,126.390
1,1,टकितौ,126.390,127.680
1,1,मिदचोऽन्त्यात्परः,127.680,130.340
1,1,एच,130.340,130.910
1,1,इग्घ्रस्वादेशे,130.910,132.940
1,1,षष्ठी,132.940,134.085
1,1,स्थानेयोगा,134.085,136.160
1,1,स्थानेऽन्तरतमः,136.160,138.600
1,1,उरण्,138.600,139.190
1,1,रपरः,139.190,140.560
1,1,अलोऽन्त्यस्य,140.560,142.720
1,1,ङिच्च,142.720,144.260
1,1,आदेः,144.260,145.070
1,1,परस्य,145.070,146.940
1,1,अनेकाल्शित्सर्वस्य,146.940,149.620
1,1,स्थानिवदादेशोऽनल्विधौ,149.620,153.540
1,1,अचः,153.540,153.905
1,1,परस्मिन्,153.905,154.840
1,1,पूर्वविधौ,154.840,156.560
1,1,न,156.560,156.795
1,1,पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु,156.795,164.360
1,1,द्विर्वचनेऽचि,164.360,166.640
1,1,अदर्शनं,166.640,167.505
1,1,लोपः,167.505,168.600
1,1,प्रत्ययस्य,168.600,169.960
1,1,लुक्श्लुलुपः,169.960,171.500
1,1,प्रत्ययलोपे,171.500,173.165
1,1,प्रत्ययलक्षणम्,173.165,175.360
1,1,न,175.360,175.635
1,1,लुमताङ्गस्य,175.635,178.000
1,1,अचोऽन्त्यादि,178.000,179.340
1,1,टि,179.340,180.300
1,1,अलोऽन्त्यात्,180.300,181.595
1,1,पूर्व,181.595,182.450
1,1,उपधा,182.450,183.400
1,1,तस्मिन्निति,183.400,184.580
1,1,निर्दिष्टे,184.580,185.715
1,1,पूर्वस्य,185.715,187.020
1,1,तस्मादित्युत्तरस्य,187.020,189.760
1,1,स्वं,189.760,190.505
1,1,रूपं,190.505,191.090
1,1,शब्दस्याशब्दसंज्ञा,191.090,194.320
1,1,अणुदित्,194.320,194.870
1,1,सवर्णस्य,194.870,195.690
1,1,चाप्रत्ययः,195.690,197.760
1,1,तपरस्तत्कालस्य,197.760,200.420
1,1,आदिरन्त्येन,200.420,201.610
1,1,सहेता,201.610,202.920
1,1,येन,202.920,203.585
1,1,विधिस्तदन्तस्य,203.585,205.560
1,1,वृद्धिर्यस्याचामादिस्तद्,205.560,208.565
1,1,वृद्धम्,208.565,209.840
1,1,त्यदादीनि,209.840,211.020
1,1,च,211.020,211.700
1,1,एङ्,211.700,212.390
1,1,प्राचां,212.390,213.610
1,1,देशे,213.610,215.720
1,1,वृद्धिर्-आद्यन्तवद्-अव्ययीभावः-प्रत्ययस्यलुक्-पञ्चदश,215.720,221.520
1,1,इति,221.520,221.775
