Part,Sentence,Sentence Start,Sentence End
pm01-10,कश्चित्कान्ताविरहगुरुणास्वाधिकारात्प्रमत्तः,0.000,9.540
pm01-10,शापेनास्तंगमितमहिमावर्षभोग्येणभर्तुः,9.540,19.180
pm01-10,यक्षश्चक्रेजनकतनयास्नानपुण्योदकेषु,19.180,27.980
pm01-10,स्निग्धच्छायातरुषुवसतिंरामगिर्याश्रमेषु,27.980,38.400
pm01-10,तस्मिन्नद्रौकतिचिदबलाविप्रयुक्तःसकामी,38.400,46.760
pm01-10,नीत्वामासान्कनकवलयभ्रंशरिक्तप्रकोष्ठः,46.760,55.880
pm01-10,आषाढस्यप्रथमदिवसेमेघमाश्लिष्टसानुं,55.880,64.520
pm01-10,वप्रक्रीडापरिणतगजप्रेक्षणीयंददर्श,64.520,72.360
pm01-10,तस्यस्थित्वाकथमपिपुरःकौतुकाधानहेतोः,72.360,81.880
pm01-10,अन्तर्बाष्पश्चिरमनुचरोराजराजस्यदध्यौ,81.880,90.040
pm01-10,मेघालोकेभवतिसुखिनोप्यन्यथावृत्तिचेतः,90.040,98.120
pm01-10,कण्ठाश्लेषप्रणयिनिजनेकिंपुनर्दूरसंस्थे,98.120,107.320
pm01-10,प्रत्यासन्नेनभसिदयिताजीवितालम्बनार्थी,107.320,118.420
pm01-10,जीमूतेनस्वकुशलमयींहारयिष्यन्प्रवृत्तिम्,118.420,128.060
pm01-10,सप्रत्यग्रैःकुटजकुसुमैःकल्पितार्घायतस्मै,128.060,141.260
pm01-10,प्रीतःप्रीतिप्रमुखवचनंस्वागतंव्याजहार,141.260,150.380
pm01-10,धूमज्योतिःसलिलमरुतांसंनिपातःक्वमेघः,150.380,155.400
pm01-10,सन्देशार्थाःक्वपटुकरणैःप्राणिभिःप्रापणीयाः,155.400,166.080
pm01-10,इत्यौत्सुक्यादपरिगणयन्गुह्यकस्तंययाचे,166.080,174.740
pm01-10,कामार्ताहिप्रकृतिकृपणाश्चेतनाचेतनेषु,174.740,185.120
pm01-10,जातंवंशेभुवनविदितेपुष्करावर्तकानां,185.120,195.160
pm01-10,जानामित्वांप्रकृतिपुरुषंकामरूपंमघोनः,195.160,204.440
pm01-10,तेनार्थित्वंत्वयिविधिवशाद्दूरबन्धुर्गतोहं,204.440,214.920
pm01-10,याच्ञामोघावरमधिगुणेनाधमेलब्धकामा,214.920,225.680
pm01-10,संतप्तानांत्वमसिशरणंतत्पयोदप्रियायाः,225.680,235.120
pm01-10,संदेशंमेहरधनपतिक्रोधविश्लेषितस्य,235.120,244.640
pm01-10,गन्तव्यातेवसतिरलकानामयक्षेश्वराणां,244.640,254.100
pm01-10,बाह्योद्यानस्थितहरशिरश्चन्द्रिकाधौतहर्म्या,254.100,262.260
pm01-10,त्वामारूढंपवनपदवीम्उद्गृहीतालकान्ताः,262.260,272.660
pm01-10,प्रेक्षिष्यन्तेपथिकवनिताःप्रत्ययाद्आश्वसत्यः,272.660,283.300
pm01-10,कःसन्नद्धेविरहविधुरांत्वय्युपेक्षेतजायां,283.300,292.360
pm01-10,नस्यादन्योप्यहमिवजनोयःपराधीनवृत्तिः,292.360,303.000
pm01-10,मन्दंमन्दंनुदतिपवनश्चानुकूलोयथात्वां,303.000,310.160
pm01-10,वामश्चायंनदतिमधुरंचातकस्तेसगन्धः,310.160,317.580
pm01-10,गर्भाधानक्षणपरिचयान्नूनमाबद्धमालाः,317.580,325.640
pm01-10,सेविष्यन्तेनयनसुभगंखेभवन्तंबलाकाः,325.640,333.320
pm01-10,तांचावश्यंदिवसगणनातत्परामेकपत्नीम्,333.320,342.920
pm01-10,अव्यापन्नामवितथगतिःद्रक्ष्यसिभ्रातृजायाम्,342.920,350.720
pm01-10,आशाबन्धःकुसुमसदृशंप्रायशोह्यङ्गनानां,350.720,358.520
pm01-10,सद्यःपातिप्रणयिहृदयंविप्रयोगेरुणद्धि,358.520,368.160
pm11-20,कर्तुंयच्चप्रभवतिमहीम्उच्छिलीन्ध्रामवन्ध्यां,0.000,9.640
