Kanda,Sarga,Sentence,Sentence Start,Sentence End
1,1,श्रीमद्वाल्मीकियरामायणे बालकाण्डे प्रथमः सर्गः ॥,0.0,12.12
1,1,तपःस्वाध्यायनिरतं तपस्वी वाग्विदां वरम् ।,12.12,17.18
1,1,नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुङ्गवम् ॥ १ ॥,17.18,22.36
1,1,को न्वस्मिन् साम्प्रतं लोके गुणवान् कश्च वीर्यवान् ।,22.36,29.06
1,1,धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रतः ॥ २ ॥,29.06,34.38
1,1,चारित्रेण च को युक्तः सर्वभूतेषु को हितः ।,34.38,39.82
1,1,विद्वान् कः कः समर्थश्च कश्चैकप्रियदर्शनः ॥ ३ ॥,39.82,47.42
1,1,आत्मवान् को जितक्रोधो द्युतिमान् कोऽनसूयकः ।,47.42,50.98
1,1,कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे ॥ ४ ॥,50.98,56.82
1,1,एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे ।,56.82,62.08
1,1,महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम् ॥ ५ ॥,62.08,66.28
1,1,श्रुत्वा चैतत् त्रिलोकज्ञो वाल्मीकेर्नारदो वचः ।,66.28,72.76
1,1,श्रूयतामिति चामन्त्र्य प्रहृष्टो वाक्यमब्रवीत् ॥ ६ ॥,72.76,77.18
1,1,बहवो दुर्ल्लभाश्चैव ये त्वया कीर्त्तिता गुणाः ।,77.18,83.24
1,1,मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तः श्रूयतां नरः ॥ ७ ॥,83.24,88.86
1,1,इक्ष्वाकुवंशप्रभवो रामो नाम जनैः श्रुतः ।,88.86,93.88
1,1,नियतात्मा महावीर्यो द्युतिमान् धृतिमान् वशी ॥ ८ ॥,93.88,99.34
1,1,बुद्धिमान्नीतिमान् वाग्ग्मी श्रीमान् शत्रुनिबर्हणः ।,99.34,105.44
1,1,विपुलांसो महाबाहुः कम्बुग्रीवो महाहनुः ॥ ९ ॥,105.44,110.4
