Sentence,Sentence Start,Sentence End
निधायहृदिविश्वेशंविधायगुरुवन्दनम् ।,0.000,6.360
बालानांसुखबोधायक्रियतेतर्कसंग्रहः ॥ १ ॥,6.360,11.560
द्रव्यगुणकर्मसामान्यविशेषसमवायाऽभावाःसप्तपदार्थाः ॥ २ ॥,11.560,17.520
तत्रद्रव्याणिपृथिव्यप्तेजोवाय्वाकाशाकालदिगात्ममनांसिनवैव ॥ ३ ॥,17.520,26.160
रूपरसगन्धस्पर्शसंख्यापरिमाणपृथक्त्वसंयोगविभग-,26.160,31.680
परत्वापरत्वगुरुत्व-,31.680,33.960
द्रवत्व-स्नेह-शब्द-बुद्धि-सुख-दुःखेच्छा-द्वेष-प्रयत्न-,33.960,39.400
धर्माधर्म-संस्काराःचतुर्विंशतिर्गुणाः ॥ ४ ॥,39.400,43.440
उत्क्षेपणापक्षेपणाकुञ्चनप्रसारणगमनानिपञ्चकर्माणि ॥ ५ ॥,43.440,49.480
परमपरंचेतिद्विविधंसामान्यम् ॥ ६ ॥,49.480,53.760
नित्यद्रव्यवृत्तयोविशेषास्त्वनन्ताएव ॥ ७ ॥,53.760,58.800
समवायस्त्वेकएव ॥ ८ ॥,58.800,61.680
अभावश्चतुर्विधःप्रागभावःप्रध्वंसाभावःअत्यन्ताभावःअन्योन्याभावश्चेति ॥ ९ ॥,61.680,70.480
तत्रगन्धवतीपृथिवी ।,70.480,74.620
साद्विविधानित्याऽनित्याच ।,74.620,79.060
नित्यापरमाणुरूपा ।,79.060,81.820
अनित्याकार्यरूपा ।,81.820,84.540
पुनस्त्रिविधाशरीरेन्द्रियविषयभेदात् ।,84.540,89.100
शरीरमस्मदादीनाम् ।,89.100,92.040
इन्द्रियंगन्द्धग्राहकंघ्राणम् ।,92.040,94.860
तच्चनासाग्रवर्ति ।,94.860,96.940
विषयोमृत्पाषाणादिः ॥ १० ॥,96.940,100.440
शीतस्पर्शवत्यःआपः ।,100.440,103.060
ताद्विविधाःनित्याअनित्याश्च ।,103.060,107.900
नित्यःपरमाणुरूपाः ।,107.900,110.900
अनित्याःकार्यरूपाः ।,110.900,114.100
पुनस्त्रिविधाशरीरेन्द्रियविषयभेदात् ।,114.100,118.560
शरीरंवरुणलोके ।,118.560,121.320
