Sarga,Word,Word Start,Word End
निधाय,0.000,2.860
हृदि,2.860,3.185
विश्वेशं,3.185,4.355
विधाय,4.355,4.865
गुरुवन्दनम् ।,4.865,6.360
बालानां,6.360,7.205
सुखबोधाय,7.205,8.465
क्रियते,8.465,9.310
तर्कसंग्रहः ॥ १ ॥,9.310,11.560
द्रव्यगुणकर्मसामान्यविशेषसमवायाऽभावाः,11.560,15.695
सप्तपदार्थाः ॥ २ ॥,15.695,17.520
तत्र,17.520,18.100
द्रव्याणि,18.100,19.805
पृथिव्यप्तेजोवाय्वाकाशाकालदिगात्ममनांसि,19.805,24.100
नवैव ॥ ३ ॥,24.100,26.160
रूपरसगन्धस्पर्शसंख्यापरिमाणपृथक्त्वसंयोगविभग-,26.160,31.680
परत्वापरत्वगुरुत्व-,31.680,33.960
द्रवत्व-स्नेह-शब्द-बुद्धि-सुख-दुःखेच्छा-द्वेष-प्रयत्न-,33.960,39.400
धर्माधर्म-संस्काराः,39.400,41.120
चतुर्विंशतिर्गुणाः ॥ ४ ॥,41.120,43.440
उत्क्षेपणापक्षेपणाकुञ्चनप्रसारणगमनानि,43.440,47.350
पञ्च,47.350,47.690
कर्माणि ॥ ५ ॥,47.690,49.480
परमपरं,49.480,50.535
चेति,50.535,50.860
द्विविधं,50.860,51.685
सामान्यम् ॥ ६ ॥,51.685,53.760
नित्यद्रव्यवृत्तयो,53.760,55.465
विशेषास्त्वनन्ता,55.465,57.280
एव ॥ ७ ॥,57.280,58.800
समवायस्त्वेक,58.800,60.330
एव ॥ ८ ॥,60.330,61.680
अभावश्चतुर्विधः,61.680,63.350
प्रागभावः,63.350,64.910
प्रध्वंसाभावः,64.910,66.660
अत्यन्ताभावः,66.660,68.285
अन्योन्याभावश्चेति ॥ ९ ॥,68.285,70.480
तत्र,70.480,72.180
गन्धवती,72.180,73.470
पृथिवी ।,73.470,74.620
सा,74.620,75.100
द्विविधा,75.100,76.430
नित्याऽनित्या,76.430,78.220
च ।,78.220,79.060
नित्या,79.060,79.770
परमाणुरूपा ।,79.770,81.820
अनित्या,81.820,82.630
कार्यरूपा ।,82.630,84.540
पुनस्त्रिविधा,84.540,85.905
शरीरेन्द्रियविषयभेदात् ।,85.905,89.100
शरीरमस्मदादीनाम् ।,89.100,92.040
इन्द्रियं,92.040,92.795
गन्द्धग्राहकं,92.795,94.205
घ्राणम् ।,94.205,94.860
तच्च,94.860,95.280
नासाग्रवर्ति ।,95.280,96.940
विषयो,96.940,97.585
मृत्पाषाणादिः ॥ १० ॥,97.585,100.440
शीतस्पर्शवत्यः,100.440,102.430
आपः ।,102.430,103.060
ता,103.060,103.760
द्विविधाः,103.760,105.145
नित्या,105.145,106.170
अनित्याश्च ।,106.170,107.900
नित्यः,107.900,108.920
परमाणुरूपाः ।,108.920,110.900
अनित्याः,110.900,111.875
कार्यरूपाः ।,111.875,114.100
पुनस्त्रिविधा,114.100,115.580
शरीरेन्द्रियविषयभेदात् ।,115.580,118.560
शरीरं,118.560,119.335
वरुणलोके ।,119.335,121.320
इन्द्रियं,121.320,122.125
रसग्राहकं,122.125,123.325
रसनं,123.325,123.950
जिह्वाग्रवर्ति ।,123.950,125.900
विषयः,125.900,126.735
सरित्समुद्रादिः ॥ ११ ॥,126.735,129.760
उष्णस्पर्शवत्तेजः ।,129.760,132.300
तच्च,132.300,132.650
द्विविधं,132.650,133.990
नित्यमनित्यं,133.990,135.125
च ।,135.125,135.940
नित्यं,135.940,136.770
परमाणुरूपं ।,136.770,138.600
अनित्यं,138.600,139.530
कार्यरूपं ।,139.530,140.940
पुनस्त्रिविधं,140.940,142.270
शरीरेन्द्रियविषयभेदात् ।,142.270,145.140
शरीरमादित्यलोके,145.140,147.270
प्रसिद्धम् ।,147.270,148.720
इन्द्रियं,148.720,149.700
रूपग्राहकं,149.700,151.055
चक्षुः,151.055,151.850
कृष्णताराग्रवर्ति ।,151.850,154.300
विषयश्चतुर्विधः,154.300,156.315
भौमदिव्यौदर्याकरज,156.315,159.490
भेदात् ।,159.490,160.300
भौमं,160.300,160.875
वह्न्यादिकम् ।,160.875,162.720
अबिन्धनं,162.720,163.660
दिव्यं,163.660,164.405
विद्युदादि ।,164.405,165.820
भुक्तस्य,165.820,166.525
परिणामहेतुरौदर्यम् ।,166.525,168.920
आकरजं,168.920,169.755
सुवर्णादि ॥ १२ ॥,169.755,172.400
रूपरहीतः,172.400,173.040
स्पर्शवान्वायुः ।,173.040,175.200
स,175.200,175.460
द्विविधः,175.460,176.630
नित्योऽनित्यश्च ।,176.630,178.780
नित्यः,178.780,179.225
परमाणुरूपः ।,179.225,181.060
अनित्यः,181.060,181.880
कार्यरूपः ।,181.880,183.300
पुनस्त्रिविधः,183.300,184.920
शरीरेन्द्रियविषयभेदात् ।,184.920,187.720
शरीरं,187.720,188.565
वायुलोके ।,188.565,190.240
इन्द्रियं,190.240,190.925
स्पर्शग्राहकं,190.925,192.570
त्वक्सर्वशरीरवर्ति ।,192.570,195.620
विषयो,195.620,196.190
वृक्षादिकम्पनहेतुः ॥ १३ ॥,196.190,198.440
शरीरान्तःसंचारी,198.440,200.525
वयुः,200.525,201.285
प्राणः ।,201.285,202.220
स,202.220,202.390
च,202.390,202.515
एकोऽप्युपाधिभेदात्प्राणापानादिसंज्ञां,202.515,206.150
लभते ॥ १४ ॥,206.150,208.600
शब्दगुणकमाकाशम् ।,208.600,210.780
तच्चैकं,210.780,211.895
विभु,211.895,212.545
नित्यञ्च ॥ १५ ॥,212.545,213.880
अतीतादिव्यवहारहेतुः,213.880,216.215
कालः ।,216.215,217.200
स,217.200,217.380
चैको,217.380,218.030
विभुर्नित्य्श्च ॥ १६ ॥,218.030,219.320
प्राच्यादिव्यवहारहेतुर्दिक् ।,219.320,222.880
सा,222.880,223.255
चैका,223.255,224.525
विभ्वी,224.525,225.135
नित्या,225.135,225.855
च ॥ १७ ॥,225.855,226.560
ज्ञानाधिकरणमात्मा ।,226.560,228.800
स,228.800,229.030
द्विविधः,229.030,229.415
परमात्मा,229.415,230.165
जीवात्मा,230.165,232.085
च ।,232.085,232.480
तत्रेश्वरः,232.480,233.940
सर्वज्ञः,233.940,234.855
परमात्मैक,234.855,236.205
एव ।,236.205,237.380
जीवात्मा,237.380,238.110
प्रतिशरीरं,238.110,239.340
भिन्नो,239.340,239.880
विभुर्नित्यश्च ॥ १८ ॥,239.880,241.960
सुखाद्युपलब्धिसाधनमिन्द्रियं,241.960,244.455
मनः ।,244.455,245.520
तच्च,245.520,245.850
प्रत्यात्मनियतत्वादनन्तं,245.850,248.780
परमाणुरूपं,248.780,250.255
नित्यं,250.255,250.815
च ॥ १९ ॥,250.815,252.520
चक्षुर्मात्रग्राह्यो,252.520,254.525
गुणो,254.525,255.215
